"LOCATION","Pays","VAR","Variable","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,31.502,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,32.644,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,32.155,,
"HUN","Hongrie","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,32.644,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,38.17,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,37.774,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,38.17,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,38.897,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,38.799,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,38.897,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,38.717,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,39.277,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.6","T4-2018","100HAB","Pour 100 habitants","0","Unités",,,38.717,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019","2019","100HAB","Pour 100 habitants","0","Unités",,,38.614,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.3","T2-2019","100HAB","Pour 100 habitants","0","Unités",,,38.967,,
"ISL","Islande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2019.6","T4-2019","100HAB","Pour 100 habitants","0","Unités",,,38.614,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016","2016","100HAB","Pour 100 habitants","0","Unités",,,28.642,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.3","T2-2016","100HAB","Pour 100 habitants","0","Unités",,,28.34,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2016.6","T4-2016","100HAB","Pour 100 habitants","0","Unités",,,28.642,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017","2017","100HAB","Pour 100 habitants","0","Unités",,,29.128,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.3","T2-2017","100HAB","Pour 100 habitants","0","Unités",,,29.038,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2017.6","T4-2017","100HAB","Pour 100 habitants","0","Unités",,,29.128,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018","2018","100HAB","Pour 100 habitants","0","Unités",,,29.423,,
"IRL","Irlande","BB-P100-TOT","Total des abonnements au haut-débit fixe pour 100 habitants ","2018.3","T2-2018","100HAB","Pour 100 habitants","0","Unités",,,29.429,,
